identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency,Cluster
2,17,7,13,4,3432.5366,Cluster 0
4,10,2,5,5,2689.7664,Cluster 0
5,8,5,5,3,2508.149,Cluster 0
13,27,6,22,5,1528.3163,Cluster 0
28,3,2,2,1,1596.0547,Cluster 0
31,14,5,11,3,1372.8044,Cluster 0
34,42,16,33,9,1622.8289,Cluster 0
35,5,2,4,1,1589.5962,Cluster 0
44,11,5,6,5,4238.9424,Cluster 0
57,9,5,4,5,1536.2335,Cluster 0
65,8,2,6,2,1668.5009,Cluster 0
74,8,2,5,3,3817.7085,Cluster 0
75,76,19,66,10,1227.2507,Cluster 0
76,2,1,1,1,3995.4504,Cluster 0
83,17,8,16,1,1864.7632,Cluster 0
90,19,11,13,6,1857.2509,Cluster 0
92,4,3,2,2,3900.1177,Cluster 0
103,100,14,78,22,1271.9016,Cluster 0
121,3,1,2,1,2359.6665,Cluster 0
125,8,3,5,3,2356.9812,Cluster 0
131,18,6,14,4,1839.8774,Cluster 0
153,27,7,17,10,1304.9884,Cluster 0
157,13,4,8,5,2513.8052,Cluster 0
158,60,16,45,15,1596.8357,Cluster 0
160,3,2,2,1,1307.9999,Cluster 0
167,33,8,22,11,1324.186,Cluster 0
177,64,14,52,12,1384.1792,Cluster 0
180,11,3,6,5,3136.2988,Cluster 0
192,5,3,4,1,2239.9065,Cluster 0
198,79,22,76,3,1402.614,Cluster 0
204,7,3,4,3,1453.3074,Cluster 0
206,9,6,7,2,4334.471,Cluster 0
208,35,13,31,4,2761.2617,Cluster 0
219,23,7,15,8,1813.3787,Cluster 0
221,18,7,13,5,2946.2131,Cluster 0
224,14,9,13,1,2411.3923,Cluster 0
225,45,15,36,9,2562.6633,Cluster 0
226,43,20,22,21,1395.2518,Cluster 0
237,3,1,2,1,2248.6572,Cluster 0
239,15,7,9,6,3937.1228,Cluster 0
245,4,2,3,1,3201.5376,Cluster 0
262,10,4,6,4,2183.3726,Cluster 0
265,12,5,11,1,1223.9467,Cluster 0
266,7,4,4,3,1271.9973,Cluster 0
268,31,7,24,7,1160.5002,Cluster 0
276,12,5,7,5,3968.9417,Cluster 0
286,4,2,2,2,2387.3728,Cluster 0
287,18,9,15,3,2066.3997,Cluster 0
294,16,9,13,3,1838.1738,Cluster 0
301,8,4,5,3,1387.3007,Cluster 0
305,20,5,16,4,1248.9794,Cluster 0
329,30,6,19,11,1395.3606,Cluster 0
338,5,1,4,1,1238.816,Cluster 0
346,2,1,1,1,3624.4382,Cluster 0
353,6,2,3,3,1140.4417,Cluster 0
