identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency
1,3,1,2,1,55.39435185185186
2,17,7,13,4,3432.5366909722225
3,11,4,6,5,965.5198240740741
4,10,2,5,5,2689.7662962962963
5,8,5,5,3,2508.149027777778
7,2,1,1,1,47.352916666666665
8,55,4,52,3,615.0722812349687
10,551,9,275,276,26.832960684911896
11,38,11,21,17,385.0787399591149
12,58,9,40,18,470.21074047364675
13,27,6,22,5,1528.3162291666667
15,20,5,14,6,219.45301388888888
16,8,4,4,4,36.21208333333333
18,17,4,12,5,336.31275958994706
19,16,4,8,8,1079.7682291666667
20,51,19,28,23,104.37344714506172
21,186,24,109,77,390.5271527954739
23,35,12,19,16,199.077297979798
25,41,10,25,16,251.71890773809528
26,37,7,31,6,533.2230285493828
27,2,1,1,1,72.00069444444445
28,3,2,2,1,1596.0547222222222
29,66,3,51,15,213.69238916075872
30,297,13,152,145,49.70117084758259
31,14,5,11,3,1372.804423611111
33,82,12,43,39,1051.2426866830065
34,42,16,33,9,1622.828850925926
35,5,2,4,1,1589.5961805555555
36,1395,44,816,579,138.17232424487523
39,43,13,26,17,1006.542768904321
40,64,8,53,11,631.8711940448633
41,9,3,4,5,263.19319444444443
42,17,10,9,8,830.0856150793651
43,111,7,81,30,105.86765671847441
44,11,5,6,5,4238.942435185185
45,8,2,5,3,130.13063492063492
47,28,7,17,11,25.60040608465608
49,3,1,2,1,0.007222222222222223
50,2,1,1,1,0.27944444444444444
51,24,5,14,10,89.92549074074074
55,30,7,18,12,265.5182526455026
56,29,6,14,15,70.20758814102565
57,9,5,4,5,1536.2335416666667
58,59,2,55,4,319.39751594650204
60,1193,56,791,402,229.7714551032181
61,31,13,17,14,214.4636550925926
62,53,11,44,9,233.06935539021165
64,33,10,31,2,645.7783490299823
65,8,2,6,2,1668.5008796296297
66,22,4,16,6,845.8602980324074
68,127,7,124,3,386.0148619264131
69,8,3,4,4,265.9783101851852
70,13,6,7,6,643.3262083333333
71,45,25,31,14,375.3239303118909
73,12,3,7,5,687.3348703703704
74,8,2,5,3,3817.708449074074
75,76,19,66,10,1227.2507087620027
76,2,1,1,1,3995.4504166666666
78,26,7,21,5,765.9538086419752
81,34,9,17,17,61.33888323045268
82,19,7,11,8,943.364794973545
83,17,8,16,1,1864.7631770833336
85,72,9,62,10,645.2667145759084
86,153,18,80,73,210.16872322873508
87,572,28,352,220,131.93342231002202
88,56,23,36,20,1164.0993202160494
90,19,11,13,6,1857.2508333333335
91,17,9,10,7,973.8300810185186
92,4,3,2,2,3900.117777777778
93,25,5,15,10,492.10971296296304
94,229,21,118,111,63.252283846898806
95,72,16,44,28,518.4886145875729
96,48,14,25,23,536.8049641203703
97,51,13,31,20,596.9944108245151
98,4,2,2,2,271.87111111111113
100,404,22,248,156,153.8818537634064
101,19,4,13,6,440.73728645833336
102,2059,36,1764,295,153.09462811325406
103,100,14,78,22,1271.901623595066
107,25,1,12,13,85.50995555555555
108,3,2,2,1,23.43638888888889
109,2538,32,1652,886,70.22454550959355
110,380,25,190,190,136.55512925890804
111,20,7,10,10,561.8007473544974
112,13,8,9,4,957.902700617284
113,285,21,229,56,104.09479852927423
114,7,4,5,2,76.83611111111111
116,16,4,12,4,438.3185208333333
117,380,17,338,42,113.57727371557745
118,37,9,22,15,298.2900304646164
119,30,7,22,8,1071.5212288359787
120,160,14,80,80,149.39178659261694
121,3,1,2,1,2359.666574074074
122,20,5,14,6,78.185325
123,168,23,111,57,303.4171239124907
124,83,16,46,37,97.12825622294372
125,8,3,5,3,2356.9811689814815
126,216,22,147,69,96.3942571676089
127,14,4,7,7,354.9615451388889
129,126,10,93,33,342.24791683353897
130,139,16,84,55,16.08302947103854
131,18,6,14,4,1839.8774884259258
132,1017,12,727,290,46.8289988134356
133,26,10,15,11,268.19182870370366
134,134,29,80,54,169.65290182130556
135,43,12,19,24,435.455549452862
136,52,8,41,11,206.24397521219137
137,205,13,180,25,163.90540573048386
138,7,3,4,3,173.34199074074073
139,71,12,50,21,324.4983147496793
140,28,4,21,7,67.99451244212963
141,454,20,266,188,178.13702604873154
142,92,17,56,36,787.3441396917353
143,4,3,3,1,576.6172222222223
144,38,10,27,11,390.52373535353536
145,35,15,18,17,525.8651812678062
146,103,20,58,45,112.01145936447813
147,2492,40,1330,1162,237.2890186142662
148,134,13,70,64,63.81687442163099
149,28,9,27,1,1057.489802910053
150,32,6,16,16,9.178471119929453
152,7,5,6,1,54.62166666666667
153,27,7,17,10,1304.9883565656564
154,525,21,481,44,237.51961169356758
155,17,9,11,6,424.0989814814815
157,13,4,8,5,2513.805208333333
158,60,16,45,15,1596.8357050705467
160,3,2,2,1,1307.9998611111112
162,50,14,26,24,213.51135085978834
163,80,14,48,32,676.2927853030458
165,130,23,75,55,132.45235894083982
167,33,8,22,11,1324.1860256046864
168,97,9,92,5,627.5056641092616
169,20,11,12,8,521.432361111111
170,33,4,29,4,654.1625102212602
171,111,6,102,9,619.2497830364332
172,27,5,20,7,509.1589981481482
173,14,6,7,7,1032.927175925926
174,27,10,14,13,764.2306310185186
175,15,2,7,8,257.62659226190476
176,2,1,1,1,0.5397222222222222
177,64,14,52,12,1384.1791536136832
178,8,4,4,4,519.8410069444444
179,928,93,475,453,326.7899037679802
180,11,3,6,5,3136.298907407407
181,208,8,184,24,177.47593902181842
182,322,33,166,156,122.31454242694369
184,28,4,21,7,318.94873489858907
185,6,3,3,3,759.347175925926
186,61,20,30,31,213.36612362213404
187,66,14,28,38,345.8633621232163
188,237,35,129,108,95.02486252325716
189,633,42,326,307,164.41374408584844
190,38,6,24,14,278.4539152888007
191,40,8,37,3,759.8589459432762
192,5,3,4,1,2239.906388888889
193,17,7,9,8,393.14298611111116
194,44,5,36,8,336.16801157407406
195,309,18,227,82,100.3868051380154
196,21,9,11,10,876.1186111111112
197,174,17,128,46,124.32959993045792
198,79,22,76,3,1402.6139680399938
199,8,2,5,3,62.13583333333333
200,152,35,81,71,316.8888226629036
201,8,2,4,4,0.05990740740740741
202,20,4,14,6,407.04050925925924
203,14,3,8,6,323.82518518518515
204,7,3,4,3,1453.3073958333334
206,9,6,7,2,4334.471111111111
208,35,13,31,4,2761.2617340067336
209,46,10,27,19,354.7207259259259
210,9,3,6,3,538.9401388888889
211,918,47,468,450,169.46903431142155
213,12,5,6,6,160.6711388888889
214,337,17,258,79,223.0745805356415
215,19,4,9,10,115.89382733585859
216,142,16,110,32,196.8235330569315
217,17,4,12,5,459.0912913359789
218,27,10,16,11,71.78120576131688
219,23,7,15,8,1813.3787121212122
220,10,5,9,1,11.334247685185185
221,18,7,13,5,2946.2131666666664
223,5,2,3,2,555.9437962962963
224,14,9,13,1,2411.3922685185184
225,45,15,36,9,2562.6632308201056
226,43,20,22,21,1395.2518125000001
227,11,4,6,5,684.959699074074
228,137,25,72,65,37.69392365212693
229,39,5,20,19,490.02961728395064
230,13,4,7,6,711.4502976190475
232,14,3,8,6,258.07388756613756
233,31,7,16,15,208.18151455026455
234,10,4,5,5,103.10626736111111
235,873,37,504,369,120.28727239713803
236,10,4,5,5,900.477986111111
237,3,1,2,1,2248.657314814815
238,21,10,11,10,20.615300925925926
239,15,7,9,6,3937.122745370371
240,82,10,70,12,542.1137275460651
241,6,4,4,2,0.15222222222222223
242,38,12,17,21,485.0419501563251
244,16,3,5,11,93.91362654320987
245,4,2,3,1,3201.537592592593
247,60,14,32,28,276.8192748739864
248,19,8,10,9,744.8537301587302
249,130,7,67,63,88.48850101230968
250,4,2,2,2,12.719722222222222
251,43,10,26,17,301.3567063492063
252,53,13,26,27,292.40798958333335
254,102,13,51,51,24.38471546971547
257,16,2,11,5,22.198606701940037
258,304,11,160,144,154.9841252397153
259,13,2,11,2,23.42965277777778
261,29,5,16,13,512.9754736467237
262,10,4,6,4,2183.3726215277775
263,7,3,3,4,581.5283796296295
264,18,4,10,8,171.9387037037037
265,12,5,11,1,1223.9467162698413
266,7,4,4,3,1271.997314814815
267,3,2,2,1,1019.6468055555556
268,31,7,24,7,1160.500234882842
269,12,2,11,1,224.78913888888889
270,5,1,4,1,359.5710555555555
271,7,3,4,3,1023.0314930555555
272,4,2,2,2,12.259375
273,470,18,415,55,203.97191617748342
275,4,1,2,2,156.0065972222222
276,12,5,7,5,3968.9416666666657
278,13,2,9,4,559.0063573232324
280,79,14,40,39,145.8230172115142
281,146,7,87,59,113.1937097505669
282,56,9,32,24,23.3309384675681
283,24,6,10,14,132.93477222222225
284,4,3,3,1,1.0216666666666667
285,42,13,23,19,611.8200905717224
286,4,2,2,2,2387.3729166666662
287,18,9,15,3,2066.3996643518517
288,28,7,21,7,243.60616203703702
289,177,47,154,23,930.2088545888963
290,74,13,48,26,1015.2113693158435
292,84,9,69,15,256.3904643191171
294,16,9,13,3,1838.1738194444442
295,36,6,29,7,509.62191293183946
296,22,11,14,8,297.33715740740735
297,50,9,46,4,883.7889624485597
298,58,9,38,20,969.7977226898615
299,336,16,215,121,333.0592405386492
300,19,6,11,8,371.3248379629629
301,8,4,5,3,1387.3007098765431
302,30,4,16,14,160.83895454545453
303,5,2,3,2,108.30125
304,12,5,7,5,96.48498611111111
305,20,5,16,4,1248.9793152006173
306,240,25,172,68,238.38054940806288
307,37,11,21,16,349.60389599255336
308,8,2,4,4,9.125555555555556
309,31,7,22,9,140.890161976912
311,182,20,138,44,468.03152908234017
312,71,9,31,40,247.20272442680775
313,9,2,5,4,444.12107142857144
314,228,27,117,111,236.2218062864091
315,16,4,14,2,344.6201273148148
316,30,3,19,11,500.3020010288065
318,68,7,67,1,741.9874677579365
319,126,16,71,55,524.3637759445415
320,7,3,4,3,834.7867592592592
322,20,4,9,11,398.3247118055556
323,218,15,118,100,151.88969734836286
324,16,7,15,1,637.3304938271605
325,71,20,52,19,462.89979226190474
326,30,6,22,8,146.6921975308642
327,32,9,17,15,893.1371841931218
328,33,15,21,12,353.30737654320995
329,30,6,19,11,1395.3605640432102
331,4,2,3,1,847.4479629629631
332,20,3,9,11,577.8649444444445
333,23,7,13,10,812.0083042328042
334,148,11,84,64,256.6318352172519
335,3,2,2,1,935.9998611111112
336,19,7,10,9,167.14591071428572
338,5,1,4,1,1238.8160555555555
339,175,39,107,68,115.64350788717456
340,54,8,32,22,58.00764790764792
341,36,14,25,11,633.8361111111111
342,45,15,32,13,236.50336408730163
343,38,6,21,17,198.04379012345677
344,13,5,7,6,466.4879944444445
346,2,1,1,1,3624.4383333333335
347,50,13,27,23,10.178574862637364
348,11,4,7,4,440.9997916666667
349,2,1,1,1,480.0001388888889
350,13,3,7,6,172.5130158730159
352,55,15,25,30,108.88411078042328
353,6,2,3,3,1140.4417013888888
354,7,3,3,4,193.7714814814815
355,31,6,17,14,466.4292494658119
356,297,34,223,74,309.19927971679283
357,13,4,7,6,242.82958333333335
358,202,38,118,84,107.00614392320642
359,107,12,87,20,443.8674687265164
362,151,37,82,69,710.158946597783
363,102,13,57,45,135.2030019035405
364,13,7,8,5,1997.202296296296
365,85,13,48,37,26.707994587792378
366,246,17,130,116,137.79885534778606
367,18,8,11,7,1693.7656084656085
368,43,10,33,10,560.9313479166667
369,124,15,62,62,20.6189949845679
370,39,6,23,16,276.6063326318743
371,2,1,1,1,12.00013888888889
372,9,4,5,4,14.386261574074075
374,48,12,39,9,1516.1524771224147
376,5,3,3,2,2286.280138888889
377,22,6,12,10,246.99757716049385
378,132,9,85,47,581.6471668183297
379,113,8,60,53,226.8767986853039
380,2,1,1,1,2294.036527777778
381,14,5,12,2,132.77283333333332
382,12,3,9,3,438.05932561728395
383,36,8,18,18,112.77603699252136
384,14,4,7,7,624.6939525462964
385,69,13,36,33,213.30984472934475
387,34,6,28,6,458.14366005291004
388,543,35,264,279,178.81995257514913
390,29,4,27,2,454.11299575617284
391,45,11,22,23,131.34099116161616
